gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000109625	0.0	0.43	0.0	0.0	0.0	0.84	2.07	0.0	0.0	0.0
ENSG00000203710	0.0	0.2	0.21	1.0	0.08	0.31	0.45	0.52	0.26	0.0
ENSG00000197721	0.16	0.0	0.0	0.0	1.59	0.0	0.0	0.0	0.24	0.0
ENSG00000117322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166426	2.82	0.0	0.24	0.0	0.49	0.43	0.0	0.0	1.21	0.0
ENSG00000143320	113.68	113.09	23.99	9.78	6.37	207.7	100.1	7.03	3.26	5.28
ENSG00000169372	12.49	16.44	14.69	14.4	33.79	12.76	27.67	11.65	8.06	10.36
ENSG00000007545	12.38	13.09	11.49	12.1	13.81	9.98	18.92	9.33	11.32	9.82
ENSG00000095321	5.04	15.24	14.18	7.22	4.67	6.47	15.42	10.88	8.03	7.7
ENSG00000134376	0.0	0.0	0.04	0.0	0.0	0.0	0.45	0.0	0.0	0.0
ENSG00000148204	2.07	0.17	3.07	0.12	0.0	2.59	2.81	0.47	1.01	0.0
ENSG00000130545	0.41	0.0	3.75	0.0	0.0	0.0	0.33	0.0	0.31	0.62
ENSG00000113851	26.09	38.22	31.42	46.08	26.46	31.31	33.81	36.28	39.31	22.93
ENSG00000241258	19.0	19.38	25.73	22.01	26.7	21.75	25.63	20.25	23.34	21.48
ENSG00000169509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000118260	20.08	27.19	18.47	21.85	45.92	23.9	34.39	15.28	16.15	31.3
ENSG00000107175	24.93	33.48	29.91	18.54	10.66	30.49	32.2	18.63	23.38	27.61
ENSG00000157613	31.47	17.31	10.76	32.04	13.69	44.34	23.31	14.14	31.03	20.21
ENSG00000182158	39.1	25.85	25.75	49.58	58.93	43.66	28.73	32.06	41.18	37.39
ENSG00000060566	0.0	0.0	8.53	0.0	0.0	0.0	0.0	0.0	0.09	0.27
ENSG00000143578	16.2	10.78	9.97	9.21	3.51	9.78	9.43	12.2	7.76	5.7
ENSG00000146592	12.92	33.42	4.27	12.69	16.97	11.28	15.49	1.14	12.69	11.5
ENSG00000005339	18.09	11.98	16.27	20.52	25.65	18.26	14.7	12.9	19.0	21.25
ENSG00000111269	15.88	16.66	12.27	17.68	26.61	14.66	14.16	9.9	7.49	13.96
ENSG00000164463	5.2	12.64	2.11	3.35	4.15	5.36	7.04	4.21	3.01	2.44
ENSG00000137504	56.9	89.61	43.48	74.17	80.48	64.59	95.03	56.48	56.1	73.9
ENSG00000143162	29.18	28.97	39.99	42.08	80.11	30.61	31.84	39.1	21.1	75.85
ENSG00000175874	0.0	7.49	0.8	0.0	3.62	0.0	5.18	0.0	0.0	1.14
ENSG00000163703	17.29	79.32	35.21	14.03	23.42	35.36	69.96	22.49	20.64	15.24
ENSG00000184164	26.08	21.81	48.13	48.96	44.69	31.14	44.65	33.52	48.38	44.05
ENSG00000095794	36.84	42.4	16.5	52.44	44.4	26.88	53.86	6.3	19.33	40.95
ENSG00000147571	0.0	0.17	0.25	0.95	0.51	0.22	0.25	0.32	0.0	0.47
ENSG00000145708	34.18	189.27	43.13	25.63	10.14	30.36	126.41	45.42	9.52	12.81
ENSG00000120088	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000204650	3.69	22.59	1.68	0.26	4.24	5.84	15.15	3.95	6.29	4.39
ENSG00000106113	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0
ENSG00000150938	26.83	66.72	69.2	79.33	239.78	28.47	65.85	9.23	45.99	118.09
ENSG00000213145	0.0	10.02	0.41	0.0	1.67	7.26	4.11	1.04	2.57	1.54
ENSG00000182809	99.68	131.31	138.91	144.15	174.46	191.41	251.79	6.94	75.28	155.56
ENSG00000146215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000179979	10.16	13.77	5.83	8.47	7.19	6.95	7.15	4.39	4.25	8.29
ENSG00000119878	19.5	17.35	14.45	23.83	15.32	28.07	9.35	27.17	19.27	20.68
ENSG00000124812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000124490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0
ENSG00000096006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
ENSG00000121005	16.77	46.36	48.0	18.64	28.88	18.65	46.15	12.67	14.77	18.94
ENSG00000103196	0.72	0.16	0.15	0.0	1.69	0.0	0.0	0.29	0.24	0.33
ENSG00000167193	76.04	100.48	70.14	91.52	191.46	84.08	130.18	54.9	87.37	122.88
ENSG00000099942	54.0	48.8	53.44	49.81	91.2	58.34	46.59	53.21	44.61	50.18
ENSG00000006016	1.82	0.54	0.0	0.0	0.81	1.76	1.2	0.0	0.0	0.0
ENSG00000205755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000176390	30.89	44.5	26.07	32.96	66.9	33.08	42.59	33.99	31.05	43.94
ENSG00000088766	26.32	10.54	31.56	69.46	33.73	36.95	20.35	34.09	25.9	29.85
ENSG00000072832	149.5	94.84	28.96	86.48	133.46	189.95	127.5	3.99	57.37	174.4
ENSG00000245694	15.33	8.54	11.53	23.35	3.27	33.93	22.92	26.04	13.72	4.56
ENSG00000101343	36.79	29.01	41.78	50.12	40.85	45.12	31.8	30.26	45.33	33.0
ENSG00000143536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000058453	25.06	43.51	20.12	38.55	20.42	22.3	41.87	21.52	49.11	22.83
ENSG00000215908	20.98	28.25	20.4	32.22	13.54	22.6	31.71	24.55	28.5	17.11
ENSG00000080947	4.37	6.59	1.9	4.2	6.1	0.96	5.25	0.68	2.63	3.56
ENSG00000005469	6.3	70.93	58.8	11.24	24.69	6.46	38.87	13.03	11.93	13.04
ENSG00000132693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000095713	2.26	3.39	1.2	25.59	0.46	6.43	8.97	0.0	27.87	3.69
ENSG00000109943	0.25	1.68	0.14	1.18	0.16	1.13	2.4	0.0	1.29	1.53
ENSG00000170275	59.79	110.55	57.31	63.59	62.66	57.57	106.77	50.06	58.88	56.53
ENSG00000105662	1.55	3.82	2.33	1.43	2.27	1.62	2.48	1.12	2.25	1.24
ENSG00000160741	9.14	8.01	8.64	20.66	17.85	11.13	12.49	11.41	7.63	13.43
ENSG00000140577	3.06	9.26	8.86	7.29	9.7	4.74	7.65	4.41	5.37	5.03
ENSG00000105392	0.37	1.33	0.44	1.77	4.42	0.0	0.83	0.16	0.22	0.98
ENSG00000008405	46.83	56.15	35.78	53.21	68.01	56.23	60.14	26.64	32.19	65.89
ENSG00000121671	4.18	8.0	6.62	6.19	3.51	6.53	7.48	5.08	5.75	4.09
ENSG00000160202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000109846	0.45	0.0	2.97	0.0	0.56	0.0	0.0	0.69	0.34	1.02
ENSG00000108255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000163499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196431	4.96	0.0	2.04	3.45	0.0	5.69	0.0	5.24	3.16	0.86
ENSG00000100122	13.33	2.18	4.56	11.3	5.73	15.62	2.41	4.06	13.31	4.52
ENSG00000244752	0.5	0.0	0.0	0.0	0.59	0.0	0.0	3.1	6.06	2.1
ENSG00000100058	40.55	19.82	28.04	36.9	43.55	42.24	25.99	18.93	41.12	35.85
ENSG00000100053	1.07	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0
ENSG00000080200	4.62	16.78	7.51	4.94	14.4	5.38	20.82	2.51	5.15	7.99
ENSG00000168582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000182187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000163254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000118231	0.0	0.0	1.58	0.0	0.0	0.0	0.0	1.35	0.0	0.0
ENSG00000127377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213139	0.0	0.0	0.0	1.66	0.0	0.0	4.42	0.0	0.28	0.0
ENSG00000165475	1.0	5.87	3.56	0.0	3.92	0.0	8.19	2.13	2.41	2.71
ENSG00000103316	3.93	21.61	11.66	0.0	0.0	0.26	12.72	22.81	5.55	0.0
ENSG00000189149	0.74	2.22	0.13	1.74	0.48	0.0	2.06	1.79	0.33	1.39
ENSG00000116791	28.77	39.5	31.08	28.19	19.75	41.76	34.07	23.31	24.29	20.97
ENSG00000205758	34.21	96.89	45.42	27.21	30.42	37.36	90.09	56.49	38.52	26.81
ENSG00000062485	77.35	72.11	106.5	124.27	73.62	76.26	73.13	106.42	85.79	77.84
ENSG00000139631	6.57	27.22	9.98	8.14	6.39	5.5	33.7	5.02	6.93	8.25
ENSG00000198930	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000268902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000268916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000242599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000060138	321.17	667.15	609.15	376.1	349.31	359.2	440.76	466.38	442.67	333.62
ENSG00000261614	0.28	0.77	0.24	0.17	0.22	0.0	0.0	0.0	0.42	0.04
ENSG00000172346	0.12	0.0	0.42	0.0	0.14	0.0	0.0	0.0	0.44	0.0
ENSG00000009307	702.02	696.43	746.87	656.78	707.96	706.55	710.75	597.97	734.23	557.23
ENSG00000124207	150.21	33.08	142.46	165.42	160.28	164.26	48.99	132.02	128.27	160.23
ENSG00000184371	6.24	2.23	1.25	7.5	2.38	8.34	3.29	2.09	2.74	1.19
ENSG00000182578	0.0	0.06	41.5	1.49	0.0	0.0	0.0	14.55	1.05	1.0
ENSG00000164400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198223	2.71	1.97	7.46	3.6	0.0	4.45	1.69	1.52	3.32	0.0
ENSG00000100368	0.48	12.65	16.52	7.22	25.03	1.99	16.15	41.63	4.45	8.58
ENSG00000108342	0.0	0.0	0.0	2.3	2.5	0.0	0.25	0.0	0.0	0.0
ENSG00000119535	1.08	1.85	7.08	2.45	0.0	0.94	2.61	4.2	0.74	0.0
ENSG00000147408	0.39	17.12	14.64	3.42	25.65	0.89	17.99	1.61	0.97	21.24
ENSG00000169826	21.94	33.66	19.69	29.18	50.24	25.43	30.87	14.58	17.64	32.33
ENSG00000136488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000204414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000103653	76.02	61.1	147.25	119.65	109.7	89.86	60.97	122.34	92.84	72.9
ENSG00000183117	0.0	0.03	0.12	0.27	0.0	0.0	0.0	0.0	0.03	0.05
ENSG00000121904	0.18	5.4	0.53	1.05	2.72	1.13	5.02	1.48	2.37	2.15
ENSG00000164796	1.15	0.09	0.19	5.41	0.16	1.01	0.25	0.6	2.69	0.42
ENSG00000126545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000234124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000135222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000171209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000113712	179.89	135.54	129.65	170.65	224.48	171.96	159.23	114.35	143.9	189.3
ENSG00000180138	0.0	0.0	0.81	0.0	1.66	0.26	0.0	0.57	0.28	0.83
ENSG00000223518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000141551	65.62	93.96	68.32	88.19	86.34	82.12	96.48	65.79	64.64	100.13
ENSG00000213923	68.72	67.11	58.84	53.31	69.51	71.07	74.22	54.79	43.28	67.87
ENSG00000169118	9.9	13.93	11.45	14.52	26.36	10.29	15.71	7.37	10.04	14.06
ENSG00000133275	60.14	45.7	53.51	51.79	31.12	65.66	54.68	48.21	43.93	43.52
ENSG00000180846	0.0	0.0	0.0	0.0	0.0	0.0	3.55	0.0	0.0	0.0
ENSG00000151292	39.04	25.46	17.72	35.74	59.21	33.91	32.84	16.45	20.0	32.76
ENSG00000101266	267.52	173.9	260.84	316.18	513.42	272.43	196.2	243.58	259.19	218.39
ENSG00000070770	58.38	83.7	69.49	63.52	39.37	72.15	81.72	52.44	58.5	39.07
ENSG00000254598	0.0	0.0	0.07	0.0	0.0	0.0	4.48	1.73	1.47	0.0
ENSG00000204435	104.24	48.12	96.58	190.34	124.88	133.26	104.84	120.15	77.07	120.35
ENSG00000173546	1.68	13.52	2.73	0.0	3.27	0.78	10.62	0.83	0.5	2.46
ENSG00000240450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000114646	0.0	0.0	0.17	0.0	0.0	0.15	0.0	0.22	0.54	0.0
ENSG00000104218	13.32	14.06	22.13	13.58	8.9	16.96	14.05	16.34	17.74	12.32
ENSG00000144655	29.14	27.1	20.71	31.47	18.91	32.7	32.81	11.66	24.39	26.45
ENSG00000110925	35.22	36.25	20.34	41.19	54.23	34.63	29.13	10.87	25.13	46.16
ENSG00000178662	4.93	3.3	0.79	3.01	3.63	4.38	2.85	0.89	1.99	1.52
ENSG00000159176	162.14	132.88	103.24	172.72	109.32	184.15	153.22	67.15	116.99	156.17
ENSG00000175183	164.47	364.67	103.61	107.18	48.17	163.16	304.56	30.16	56.55	114.84
ENSG00000149474	15.35	11.31	21.85	16.28	16.7	21.28	19.97	22.53	18.94	13.26
ENSG00000129170	0.0	0.29	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000170373	0.41	0.33	0.73	0.0	4.02	0.0	4.44	0.0	1.23	9.12
ENSG00000125831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000204663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000170369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14
ENSG00000101439	1.6	2.95	35.49	16.3	7.87	28.17	1.45	25.65	12.08	13.58
ENSG00000101441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000170367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000175315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000077984	0.0	0.0	0.78	0.0	0.0	0.0	0.0	1.01	0.0	0.0
ENSG00000125815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000173335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000121552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0
ENSG00000160213	141.25	273.52	178.9	143.0	119.74	119.85	288.01	168.51	106.4	261.57
ENSG00000101138	32.98	17.59	42.62	32.02	31.92	20.27	19.86	45.66	44.37	29.9
ENSG00000101811	46.4	54.0	56.81	79.56	50.82	52.24	37.49	50.06	68.58	38.6
ENSG00000177613	70.97	73.02	62.29	66.98	74.62	59.35	65.06	53.64	77.62	60.36
ENSG00000176102	80.92	59.12	123.08	128.7	206.21	136.62	82.11	125.25	141.13	121.66
ENSG00000247151	6.62	4.93	6.47	1.53	2.18	5.32	2.57	3.78	3.59	5.93
ENSG00000125823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000268940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000271449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000269096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000269096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000278289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000224089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000242362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000248131	0.0	0.0	2.11	0.0	0.0	2.7	0.0	0.1	0.38	0.0
ENSG00000258710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225362	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0
ENSG00000241369	0.0	0.64	0.0	0.0	0.0	0.0	0.46	0.3	0.0	0.45
ENSG00000268651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000184033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000126890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000212710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0
ENSG00000181358	0.0	1.15	0.12	0.0	0.0	0.0	0.72	0.17	0.0	0.0
ENSG00000214249	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.89	0.34	0.0
ENSG00000271079	0.0	0.0	0.39	0.0	0.0	0.97	0.0	0.0	0.0	0.26
ENSG00000225932	1.4	0.46	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0
ENSG00000150527	12.64	13.48	18.84	15.5	21.61	15.49	16.7	14.84	18.35	17.22
ENSG00000271321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233122	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.47	0.32	0.0
ENSG00000236761	0.0	0.0	0.0	0.52	0.0	0.0	0.28	0.0	0.0	0.0
ENSG00000159692	46.05	59.92	64.46	59.05	87.15	61.44	55.08	51.36	52.07	51.39
ENSG00000196810	8.25	3.4	5.77	4.54	7.44	7.49	5.47	3.83	4.94	8.25
ENSG00000175029	71.27	47.96	63.07	62.14	49.26	72.35	66.85	63.78	71.29	44.48
ENSG00000117151	4.08	13.55	10.95	16.29	5.29	8.81	13.04	6.94	4.22	3.0
ENSG00000178971	2.88	4.98	5.14	3.53	2.33	5.39	8.36	4.48	2.84	1.0
ENSG00000102974	68.85	33.31	47.36	62.72	72.39	55.54	34.17	59.45	64.44	61.35
ENSG00000124092	2.61	1.71	1.86	2.05	0.17	0.61	0.89	1.51	1.79	0.91
ENSG00000175826	81.36	52.08	82.3	70.86	50.05	53.34	73.12	90.28	45.54	60.6
ENSG00000060069	32.06	27.82	34.9	14.73	24.43	33.04	22.27	23.3	28.87	24.08
ENSG00000144579	50.56	26.34	47.15	61.09	70.2	57.49	51.84	57.71	36.65	39.39
ENSG00000175215	93.12	85.29	79.02	67.6	81.18	89.0	102.06	69.17	64.27	72.04
ENSG00000144677	25.74	32.41	24.62	44.86	60.76	28.89	36.23	26.89	31.5	41.85
ENSG00000137770	26.2	14.15	24.58	29.0	49.91	27.07	15.84	23.1	23.04	24.38
ENSG00000150281	0.0	1.86	1.36	0.41	4.55	1.35	0.0	2.23	1.11	3.77
ENSG00000118523	29.17	11.03	138.44	54.78	188.04	16.4	41.73	11.74	39.38	155.28
ENSG00000116761	8.28	7.9	5.35	8.69	8.17	9.0	11.52	9.52	9.52	7.68
ENSG00000164932	38.49	45.94	115.57	27.75	93.19	14.33	55.7	26.27	4.73	29.86
ENSG00000134030	6.44	14.65	3.72	1.26	6.99	4.7	9.94	1.62	3.23	5.17
ENSG00000163599	0.0	0.64	0.0	0.0	0.0	0.0	0.38	0.0	0.0	1.44
ENSG00000044115	251.99	344.49	186.65	207.89	272.31	279.16	331.06	107.75	175.73	255.7
ENSG00000066032	0.84	0.43	0.18	0.86	0.28	0.08	0.37	0.12	0.52	0.34
ENSG00000183230	0.19	0.76	0.17	0.0	0.0	0.0	0.0	0.0	0.07	0.21
ENSG00000119326	54.16	26.35	38.5	62.82	29.83	69.77	31.05	43.84	44.16	28.12
ENSG00000168036	669.7	848.39	406.6	565.42	652.85	725.19	922.52	183.5	363.26	730.83
ENSG00000178585	16.21	33.6	37.54	21.34	46.76	30.17	41.49	17.37	13.4	38.63
ENSG00000132792	229.47	238.02	152.07	202.27	166.38	223.2	154.68	390.7	354.84	199.33
ENSG00000198561	121.35	217.64	82.68	152.3	189.79	130.19	191.87	77.73	137.4	174.44
ENSG00000169862	0.59	0.13	0.06	0.61	0.33	0.06	0.06	0.25	0.81	0.36
ENSG00000040531	6.29	9.26	10.12	10.0	7.7	9.06	12.31	6.41	6.84	4.9
ENSG00000171793	136.93	64.6	142.51	164.05	176.33	129.57	74.38	151.6	163.24	122.03
ENSG00000047230	27.96	37.98	26.2	21.26	17.73	31.48	44.54	19.83	19.8	29.71
ENSG00000198730	55.09	51.06	58.63	149.96	96.48	57.14	60.05	67.48	132.58	68.27
ENSG00000168925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000168928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0
ENSG00000141086	0.51	0.0	0.61	2.89	0.0	0.82	0.62	1.56	2.32	0.0
ENSG00000064601	22.34	20.14	53.97	24.5	23.7	29.71	32.66	34.4	26.19	23.25
ENSG00000164733	113.42	248.0	169.48	204.33	246.91	139.33	258.83	88.68	152.94	171.84
ENSG00000109861	137.71	80.96	274.18	154.83	111.23	137.44	170.45	180.61	122.45	144.43
ENSG00000117984	122.37	99.56	210.51	148.99	82.49	169.44	152.65	102.6	117.44	98.44
ENSG00000196188	0.0	0.0	3.47	0.64	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000174080	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100448	1.33	0.0	14.8	0.0	3.26	1.42	0.0	7.09	10.76	15.01
ENSG00000103811	12.72	43.53	55.68	5.93	3.97	9.03	25.33	19.08	11.87	5.93
ENSG00000143387	6.58	10.95	4.01	5.95	0.61	3.51	12.9	3.76	3.47	2.6
ENSG00000135047	175.86	315.85	216.55	176.15	157.46	146.76	229.14	276.25	297.49	231.93
ENSG00000266217	0.99	0.23	1.3	0.0	2.4	4.84	0.33	0.84	0.65	0.0
ENSG00000234575	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0
ENSG00000136943	38.02	5.2	4.67	29.71	4.07	37.23	10.67	5.61	70.8	11.97
ENSG00000188029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000256043	2.71	8.77	7.99	1.59	2.83	0.32	10.78	0.92	1.82	4.08
ENSG00000163131	0.99	0.94	2.98	0.0	2.25	0.24	1.07	0.93	0.36	0.74
ENSG00000172543	0.0	0.0	4.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101160	136.3	211.7	219.36	135.5	106.25	206.04	190.45	218.68	217.42	308.8
ENSG00000085733	382.12	358.84	198.27	286.05	704.29	384.22	408.01	26.11	254.65	394.89
ENSG00000077063	6.16	18.11	4.38	9.27	14.82	9.73	13.85	16.39	16.01	18.1
ENSG00000143079	39.57	52.51	15.07	28.71	47.05	46.33	52.17	9.16	20.89	47.53
ENSG00000142544	0.0	1.95	0.67	0.32	0.0	0.6	0.0	0.0	1.17	0.0
ENSG00000174177	17.41	19.49	29.23	18.66	13.0	36.51	14.72	19.0	22.72	14.19
ENSG00000178531	0.96	0.0	1.28	4.86	0.0	1.78	2.02	0.73	0.72	4.86
ENSG00000233932	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0
ENSG00000205279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000107611	0.69	1.38	1.26	0.77	0.78	3.81	2.93	0.12	0.5	0.77
ENSG00000180891	8.51	6.55	2.65	3.48	1.99	12.86	7.04	1.48	5.98	4.03
ENSG00000107874	155.49	210.14	196.24	148.12	109.68	152.81	231.38	174.7	201.22	117.76
ENSG00000055130	135.3	71.57	175.38	129.38	82.34	139.5	89.17	165.26	149.82	114.63
ENSG00000108094	40.0	35.21	36.12	36.42	50.32	45.7	33.91	28.37	42.66	31.57
ENSG00000036257	58.08	61.33	63.73	74.0	80.72	69.36	64.59	53.39	63.2	58.93
ENSG00000139842	96.6	93.85	109.23	108.12	153.09	103.8	102.37	104.34	117.61	105.27
ENSG00000158290	38.49	48.13	45.25	44.7	56.81	38.89	47.31	37.62	31.84	50.03
ENSG00000166266	24.1	24.74	23.18	38.98	69.77	26.78	31.48	21.21	24.13	32.57
ENSG00000044090	18.29	76.32	22.58	14.99	15.63	21.58	55.19	10.27	16.3	12.47
ENSG00000112659	3.12	12.93	5.79	2.12	3.54	3.27	15.08	5.82	4.77	5.24
ENSG00000112514	197.9	94.7	175.81	164.31	65.23	186.7	153.89	163.74	119.06	181.49
ENSG00000119929	88.64	126.42	155.4	91.45	142.84	67.22	89.4	111.12	81.88	90.42
ENSG00000257923	14.11	27.31	25.67	10.49	11.34	15.18	27.74	19.31	20.31	10.99
ENSG00000111249	0.64	0.07	0.63	0.0	0.31	0.36	0.21	0.0	0.1	0.1
ENSG00000138161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000150316	62.71	103.63	73.95	79.87	71.15	79.12	84.57	82.23	95.34	64.81
ENSG00000163510	61.3	67.24	57.81	60.75	44.23	51.54	46.7	63.4	88.58	41.71
